respondent_id,resp_gender,region,resp_age,education,polid_numeric,party_preference,prez_vote,alt_dv_realestate,alt_dv_foreign_policy,alt_dv_nuclear_policy,alt_dv_labor_policy,alt_dv_social_policy,manipulation_check1,age_attribute,origin,gender_attribute,career,scandal,labor_policy,housing_policy,social_policy,foreign_policy,nuclear_policy
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Busan,Female,Civil Rights Activist,None,Harmony in labor-management relations,Overhaul real estate policy,Prioritize social harmony,Diplomacy centered on national interests,National interests reflected
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Seoul,Female,Diplomat,Bribery allegations,Flexibility in working hours,Increase real estate taxes,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,Pursue independent nuclear armament
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Gwangju,Male,Prosecutor,Bribery allegations,Harmony in labor-management relations,Overhaul real estate policy,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Male,Civil Rights Activist,None,Harmony in labor-management relations,Increase real estate taxes,Prioritize social harmony,Balanced diplomacy between US and China,Deploy tactical nukes and US sharing
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Female,Civil Rights Activist,None,Implement 4.5-day workweek,Overhaul real estate policy,Prioritize social harmony,Emphasize US-South Korea alliance,Pursue independent nuclear armament
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Busan,Female,Businessperson,None,Flexibility in working hours,Overhaul real estate policy,Social consensus before law,Emphasize US-South Korea alliance,National interests reflected
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Gwangju,Female,Businessperson,Son's military service,National job guarantee,Overhaul real estate policy,Oppose anti-discrimination law,Diplomacy centered on national interests,Pursue independent nuclear armament
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Gwangju,Male,Diplomat,Bribery allegations,Flexibility in working hours,Ease real estate tax burden,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Seoul,Male,Prosecutor,Bribery allegations,Implement 4.5-day workweek,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Gwangju,Female,Diplomat,Bribery allegations,Harmony in labor-management relations,Ease real estate tax burden,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Busan,Female,Diplomat,Son's military service,Harmony in labor-management relations,Overhaul real estate policy,Expedited enactment of anti-discrimination law,Diplomacy centered on national interests,Pursue independent nuclear armament
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Busan,Male,Businessperson,Ancestors pro-Japanese,Flexibility in working hours,Ease real estate tax burden,Oppose anti-discrimination law,Balanced diplomacy between US and China,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Seoul,Female,Diplomat,None,Implement 4.5-day workweek,Overhaul real estate policy,Social consensus before law,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Gwangju,Female,Civil Rights Activist,None,Implement 4.5-day workweek,Expansion of public housing,Oppose anti-discrimination law,Balanced diplomacy between US and China,National interests reflected
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,70,Seoul,Male,Prosecutor,Son's military service,Harmony in labor-management relations,Increase real estate taxes,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,40,Seoul,Male,Diplomat,Son's military service,Implement 4.5-day workweek,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Balanced diplomacy between US and China,National interests reflected
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,40,Busan,Male,Prosecutor,Ancestors pro-Japanese,National job guarantee,Increase real estate taxes,Expedited enactment of anti-discrimination law,Balanced diplomacy between US and China,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,70,Busan,Female,Prosecutor,Ancestors pro-Japanese,Flexibility in working hours,Increase real estate taxes,Social consensus before law,Emphasize US-South Korea alliance,National interests reflected
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,70,Gwangju,Female,Prosecutor,None,National job guarantee,Overhaul real estate policy,Oppose anti-discrimination law,Balanced diplomacy between US and China,Pursue independent nuclear armament
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Seoul,Male,Prosecutor,Bribery allegations,National job guarantee,Overhaul real estate policy,Prioritize social harmony,Economic cooperation with North Korea,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,40,Seoul,Female,Civil Rights Activist,Son's military service,Flexibility in working hours,Expansion of public housing,Oppose anti-discrimination law,Economic cooperation with North Korea,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Seoul,Female,Diplomat,Son's military service,National job guarantee,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Economic cooperation with North Korea,National interests reflected
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,40,Gwangju,Female,Diplomat,Ancestors pro-Japanese,Harmony in labor-management relations,Overhaul real estate policy,Oppose anti-discrimination law,Diplomacy centered on national interests,National interests reflected
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,40,Seoul,Female,Diplomat,Son's military service,Harmony in labor-management relations,Overhaul real estate policy,Prioritize social harmony,Diplomacy centered on national interests,No deployment of nuclear weapons
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,70,Seoul,Male,Prosecutor,Bribery allegations,National job guarantee,Ease real estate tax burden,Prioritize social harmony,Balanced diplomacy between US and China,No deployment of nuclear weapons
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Gwangju,Male,Businessperson,Son's military service,Flexibility in working hours,Increase real estate taxes,Prioritize social harmony,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Busan,Male,Diplomat,Bribery allegations,Implement 4.5-day workweek,Overhaul real estate policy,Oppose anti-discrimination law,Balanced diplomacy between US and China,No deployment of nuclear weapons
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Gwangju,Female,Businessperson,Ancestors pro-Japanese,Harmony in labor-management relations,Overhaul real estate policy,Oppose anti-discrimination law,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,70,Busan,Male,Businessperson,None,Implement 4.5-day workweek,Ease real estate tax burden,Social consensus before law,Balanced diplomacy between US and China,No deployment of nuclear weapons
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,70,Seoul,Male,Diplomat,Son's military service,Flexibility in working hours,Expansion of public housing,Oppose anti-discrimination law,Diplomacy centered on national interests,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Gwangju,Male,Diplomat,Son's military service,Flexibility in working hours,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Busan,Female,Civil Rights Activist,Son's military service,Flexibility in working hours,Increase real estate taxes,Expedited enactment of anti-discrimination law,Diplomacy centered on national interests,No deployment of nuclear weapons
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Gwangju,Female,Civil Rights Activist,Bribery allegations,Flexibility in working hours,Overhaul real estate policy,Oppose anti-discrimination law,Emphasize US-South Korea alliance,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Seoul,Female,Civil Rights Activist,Son's military service,Flexibility in working hours,Expansion of public housing,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Busan,Female,Diplomat,Bribery allegations,Flexibility in working hours,Expansion of public housing,Prioritize social harmony,Diplomacy centered on national interests,No deployment of nuclear weapons
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,70,Gwangju,Female,Civil Rights Activist,Ancestors pro-Japanese,Implement 4.5-day workweek,Overhaul real estate policy,Social consensus before law,Emphasize US-South Korea alliance,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Seoul,Female,Diplomat,Bribery allegations,Implement 4.5-day workweek,Expansion of public housing,Expedited enactment of anti-discrimination law,Balanced diplomacy between US and China,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Seoul,Female,Businessperson,Ancestors pro-Japanese,National job guarantee,Overhaul real estate policy,Oppose anti-discrimination law,Balanced diplomacy between US and China,Deploy tactical nukes and US sharing
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Busan,Female,Prosecutor,Ancestors pro-Japanese,Harmony in labor-management relations,Ease real estate tax burden,Prioritize social harmony,Balanced diplomacy between US and China,Deploy tactical nukes and US sharing
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,70,Seoul,Male,Prosecutor,Son's military service,Harmony in labor-management relations,Overhaul real estate policy,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Seoul,Male,Diplomat,None,Flexibility in working hours,Increase real estate taxes,Prioritize social harmony,Diplomacy centered on national interests,Pursue independent nuclear armament
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,70,Seoul,Female,Civil Rights Activist,None,Harmony in labor-management relations,Increase real estate taxes,Oppose anti-discrimination law,Balanced diplomacy between US and China,No deployment of nuclear weapons
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,70,Seoul,Male,Prosecutor,Son's military service,Flexibility in working hours,Increase real estate taxes,Expedited enactment of anti-discrimination law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Gwangju,Female,Prosecutor,Ancestors pro-Japanese,National job guarantee,Overhaul real estate policy,Social consensus before law,Balanced diplomacy between US and China,No deployment of nuclear weapons
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,70,Seoul,Female,Civil Rights Activist,Bribery allegations,Flexibility in working hours,Overhaul real estate policy,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,55,Busan,Female,Businessperson,Bribery allegations,Implement 4.5-day workweek,Increase real estate taxes,Oppose anti-discrimination law,Economic cooperation with North Korea,Deploy tactical nukes and US sharing
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,70,Seoul,Female,Prosecutor,Ancestors pro-Japanese,Implement 4.5-day workweek,Expansion of public housing,Prioritize social harmony,Economic cooperation with North Korea,Pursue independent nuclear armament
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Gwangju,Male,Diplomat,Ancestors pro-Japanese,Flexibility in working hours,Expansion of public housing,Social consensus before law,Economic cooperation with North Korea,Deploy tactical nukes and US sharing
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Seoul,Male,Civil Rights Activist,None,Flexibility in working hours,Overhaul real estate policy,Prioritize social harmony,Balanced diplomacy between US and China,National interests reflected
R_4016dje6IP45LcB,Male,Chungcheong-Honam,64,Graduate school,1,People Power Party,다른 후보,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Flexible work hours,Quick enactment of anti-discrimination law,Conservative,40,Seoul,Female,Civil Rights Activist,Son's military service,Implement 4.5-day workweek,Increase real estate taxes,Prioritize social harmony,Diplomacy centered on national interests,Pursue independent nuclear armament
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,40,Seoul,Female,Civil Rights Activist,None,Flexibility in working hours,Expansion of public housing,Social consensus before law,Emphasize US-South Korea alliance,No deployment of nuclear weapons
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,70,Gwangju,Male,Civil Rights Activist,None,Flexibility in working hours,Overhaul real estate policy,Oppose anti-discrimination law,Economic cooperation with North Korea,National interests reflected
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,55,Seoul,Male,Diplomat,Son's military service,Implement 4.5-day workweek,Overhaul real estate policy,Expedited enactment of anti-discrimination law,Diplomacy centered on national interests,National interests reflected
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,40,Gwangju,Male,Civil Rights Activist,None,Implement 4.5-day workweek,Increase real estate taxes,Social consensus before law,Emphasize US-South Korea alliance,Pursue independent nuclear armament
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,55,Seoul,Female,Businessperson,Bribery allegations,National job guarantee,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,40,Seoul,Female,Diplomat,Ancestors pro-Japanese,Implement 4.5-day workweek,Expansion of public housing,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons
R_4036sTpZah85jgu,Male,Capital Area,41,High school,5,Other,Lee Jae-myung,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Other,55,Gwangju,Male,Diplomat,Ancestors pro-Japanese,Flexibility in working hours,Overhaul real estate policy,Prioritize social harmony,Economic cooperation with North Korea,No deployment of nuclear weapons
